sector,markdown_files,source_sections,url_mentions,estimate_signals,word_count,documentation_readiness
صالونات_التجميل,22,22,2,46,4592,needs_claim_review
صالونات_الحلاقة,22,22,2,46,4586,needs_claim_review
صياغة_الذهب,22,22,2,46,4629,needs_claim_review
صيانة_الأجهزة,22,22,2,46,4632,needs_claim_review
صيانة_المنازل,22,22,2,46,4595,needs_claim_review
قاعات_المناسبات,22,21,2,23,9425,needs_claim_review
قطع_الغيار,22,22,2,46,4639,needs_claim_review
كاميرات_المراقبة,22,22,2,46,4596,needs_claim_review
محامص_البن,22,0,0,3,3310,needs_sources
محطات_الوقود,22,22,2,46,4587,needs_claim_review
محلات_الكمبيوتر,22,22,2,46,4583,needs_claim_review
محلات_الملابس,22,0,0,8,5204,needs_sources
مراكز_الأشعة,22,22,2,46,4599,needs_claim_review
مراكز_الألعاب,22,22,2,46,4590,needs_claim_review
مراكز_التدريب,22,0,0,2,7789,needs_sources
مراكز_العناية_بالبشرة,22,22,2,46,4620,needs_claim_review
مراكز_اللغات,22,1,1,0,4982,needs_verification
مستحضرات_التجميل,22,22,2,46,4593,needs_claim_review
مطاعم,22,21,6,27,18689,needs_claim_review
معارض_السيارات,22,22,2,47,4596,needs_claim_review
مكاتب_السفر,22,21,2,23,9463,needs_claim_review
مكافحة_الحشرات,22,22,2,46,4596,needs_claim_review
مواد_البناء,22,22,2,46,4601,needs_claim_review
وكالات_الإعلان,22,22,2,46,4600,needs_claim_review
